Nama_Pengguna,Tanggal,Rating,Komentar,Balasan_Developer,Jumlah_Like
Wong Ko Ngene,2024-11-20,1,"Diskusi ditutup, mau ngasih testimoni gak bisa, koin2 yang dicall udah pada turun diatas -50%, live kelas juga udah hampir ga pernah. Mungkin ini salah satu keputusan terburuk dalam hidup yaitu join AC.",,6
Wirda yanti,2024-11-20,5,UI dari semua fitur yang dibutuhkan harus ditampilkan secara eksplisit,,1
ALsaP Cuy,2024-11-20,5,Good,,0
Mohammad Faisal,2024-11-20,1,Aplikasinya kurang bagus,,4
Lham,2024-11-20,1,Mahal amat bang bayar nya,,6
Dev Refandi,2024-11-20,5,Keren bat applikasinya sangat informatif,,0
Siyapa_saya250,2024-11-20,1,Aplikasi GOBLOG gak bisa masuk jangan di dowload aplikasi gak guna,,10
M Zaky Ramadhani 20,2024-11-20,1,gatau gw ikut bintang 1 karna fomo,,5
Bubu Games,2024-11-20,1,"Makin kesini makin ke sana,kami sebagai treder butuh diskusi dan sharing tentang pengalaman,kalo di apk kaya gini kami jadi terbatas tida bisa saling komunikasi antara treder lain",,71
Ros Manah,2024-11-20,5,"Untuk para pemula ini membantu banget, download apk ini bermanfaat banget buat kita belajar crypto, recommanded banget pokoknya, bener2 diajarin dari dasar banget tentang crypto, bagus pokoknya",,1
Uyul Dua,2024-11-20,1,"kecewa udah ga ada diskusi member, coin yang di call bulan maret pun masih minus",,7
tedy wijaya,2024-11-20,5,Terima kasih,,0
Sahrul Ajja,2024-11-20,5,Pengalaman yang sangat bagus sekali untuk orang awam seperti saya sangat merekomendasikan apk ini,,1
D'VNL R,2024-11-20,5,"Bagi yang masih pemula terus mau belajar tentang dunia crypto Aplikasi ini sangat recommended untuk di install, ga ribet buat yang masih pemula dan mau terjun di dunia crypto",,0
Faisol Hidayat,2024-11-20,5,Aplikasi sebagus ini seharusnya dapat rating 5,,0
Julian Wijaya Kusuma,2024-11-20,5,"Buat pemula yang mau nyoba belajar crypto coba deh di aplikasi ini cara nya sangat muda dan gampang,panduan nya sangat bagus, ga ribet juga kerenn",,1
Cencen RL,2024-11-20,5,"Meskipun gapunya akses ke aplikasinya, saya mau terima kasih kepada bg Timothy dan bro kalimasada buat edukasinya meskipun belum bisa saya terapkan semua, tapi saya percaya proses tidak akan mengkhianati hasil.",,1
Tsukasa,2024-11-20,5,Buat pemula untuk yang ingin belajar investasi aplikasi ini sangat cocok untuk awal memulai investasi awal kalian sangat recomend karena fitur yang sangat nyaman dan sangat mudah untuk memulai awal bisnis investasi,,1
lontong sayur,2024-11-20,1,Parahh aplikasi tipu tipu,,3
GrowCrit,2024-11-20,1,Aplikasi orang tolol buang2 duit,,6
Flash Sky,2024-11-20,1,Skem parah woilah,,2
Widia Rahardini I,2024-11-20,5,Aplikasi OK,,0
ihsan ainussyamsi,2024-11-20,5,"Kapan lagi bisa dapet berita khusus crypto up to date, sudah terakurasi jelas. Ketambah buat akses ke modul lebih gampang dan simpel. Terus maju ac ku",,1
Tiktok Compilation,2024-11-20,1,"Jujur gw join AC gara Form diskusi discord tapi malah di matiin , signal badut lawak , sekarang malah pindah apps lawak , contrarian permanent di matiin, tapi yaudahlah kita bisa apa selain nyuci piringnya Timothy akwoakeokaeo",,3
Juliyah Lia,2024-11-20,5,"Aplikasinya sangat sangat bagus, informasi valid",,1
Hafiz Saifuddin Musthofa,2024-11-20,5,Tempat edukasi crypto terbaik di Indonesia.... materi-materinya didalamnya sangat-sangat berdaging....sangat cocok buat pemula yang pengen belajar crypto,,0
Nang Roeslanie,2024-11-20,5,"Saya yang pemula, sangat membantu untuk belajar crypto.",,1
Razak Moreno,2024-11-20,5,Informasi yang diberikan sangat mahal,,0
POPON EDIT,2024-11-20,5,bagi pemula ini adalah apk nya sangat sangat membantu pembelajaran karna hal hal yang di ajarkan mudah untuk di pahami,,1
Syaldi AE,2024-11-20,5,Saya ungkapkan terimakasih akademi crypto.,,0
Gamers gaming,2024-11-20,5,Aplikasi nya bagus banget cocok buat pemula nihh,,0
wayan adi,2024-11-20,5,Bagus,,0
Faisal,2024-11-20,5,"Bagus sekali aplikasinya, mudah dimengerti penjelasanya , buat para pemula cocok sii",,1
Hariyanti,2024-11-20,5,"Yang pengen belajar crypto aplikasi ini cocok bnget bagi yg pemula, bisa dipahami dengan cepat",,1
Ahmad Taufik,2024-11-20,5,"buat pemula sangat rekomended bgt.. buat belajar trading,",,1
Mirza Raffi Adlan,2024-11-20,5,Aplikasi yang sangat bagus dan bermanfaat buat pemula yang belum mengetahui crypto. Aplikasinya juga sangat mudah digunakan dan ga hanya fitur yang lengkap tapi desainnya juga bagus bangetttttt,,1
Maya Viyola,2024-11-20,5,"Aplikasi nya sangat mudah di gunakan,edukasi belajar crypto yg sangat menarik ,tampilan nya pun cukup keren",,1
Joni Suparwo,2024-11-20,5,"Untuk pemula belajar cripto, mudah dipahami banget, rekomendasi lah pokoknya",,1
amel geminimini,2024-11-20,5,"aplikasinya membantu untuk inves, penggunaan mudah dan cair juga mudah",,1
Apaantuh,2024-11-20,5,"tampilan menunya ga bikin bingung buat kita, rekomen banget sih ini",,1
arjuna khalifah alfatih,2024-11-20,5,"Buat pemula cocok banget nih belajar crypto di akademi crypto. Pendaftaran gampang, edukasinya sangat mudah di pahami. Akademi crypto tempat edukasi belajar crypto",,1
Binz Chai,2024-11-20,5,Pembelajaran modulnya bagus .. di improve lagi modulnya 😄 dan info A1.. untuk AC trs berkembang ya,,1
Rizal Septian Basri,2024-11-20,1,"diskusinya di buka lagi,",,13
Mad Kid,2024-11-20,1,Bayar 17 juta buat baca berita🫵🤣,,2
Rui Tachibana,2024-11-20,3,Gambar ketika di zoom tidak bisa di geser kanan kiri,,0
KIMI SugmaVal,2024-11-20,5,Mantab,,0
Wahyu Hicker,2024-11-20,5,MENGUDARA AC,,0
farid afrizal,2024-11-20,5,Keren si isinya. Good job timoty,,0
Kawaii Ruka,2024-11-20,5,"Wajib donlot apl ini jika kalian mau belajar tranding, disini lengkap edukasi untuk tranding",,0
Putri Deswita Yolanda,2024-11-20,5,buat yang mau trading apalagi buat pemula bisa trading di akademi crypto karena fitur nya mudah di cerna dan tampilan nya juga simple,,0
Arga Saputra,2024-11-20,5,"Buat yang mau belajar crypto, aplikasi ini berguna banget,dimana kita ngga akan ketinggalan berita terbaru juga dan banyak pengajarannya",,1
sofar sidabutar,2024-11-20,5,"Saya masih belajar, sering cari tentang crypto di yt, bukan membandingkan tapi menurut saya info dan penjelasan dari yt gtatis AC,lebih mudah dipahami bagi pemula, sekarang cuma bisa nonton MC gratisan dulu,semoga nanti bisa jadi member",,1
Official tio,2024-11-20,1,"Foundernya Scam dengan cara modern. Kelas mahal, suka fomo2in, anti kritik, yang kritik di diskusi kena ban, analisa salah gak mau mengakui, giliran bener sekali langsung koar2, ngemis rating aplikasi ke publik yang notabene ""TIDAK BISA LOGIN KE APLIKASI"" dengan dalih agar ada margin call lagi. Marketing sampah gini kok dibilang game theory. Reffund uang kami semua !!!!!!",,10
Nanda Saputra,2024-11-20,5,belajar banyak dari ilmu gratisnya thank you,,1
Ahmad Suhaimi,2024-11-20,5,"Untuk app baru termasuk bagus, tanpa ada kendala. Isinya juga oke kalo menurut saya. 👍",,2
M Asep,2024-11-20,5,Belum bisa join cuma bisa kasih 5 bintang aja. Di tunggu MC berpisang nya ncek 🙏☺️,,0
timothy ronaldd,2024-11-20,1,Akademi scam banyak orng yang rungkad karena call sampah nya dan di jadiin rungkad,,2
Sad 12,2024-11-20,1,Yg minus bisa refund gk..!!!,,3
dikrul alfani,2024-11-20,1,"Kurang bermanfaat dan sudah terbukti menyebabkan rugi, tolong dijauhi dan jangan didekati, daripada bikin setengah mati Cupang saja",,3
BAGAS PUTRA,2024-11-20,1,💩,,1
Adam Rizal,2024-11-20,5,"Buat pemula ini apk cocok buat kalian yang mau belajar crypto. Materinya jelas, gampang dipahami. Desainnya juga simpel jadi enak dipakai👍",,1
Nizar Prasetya,2024-11-20,5,"Keren aplikasinya, saya jadi tambah semangat untuk belajar😁😁",,0
muhammad irfan,2024-11-20,5,"Untuk pemula aplikasi ini sangat membantu, dan informatif konten di dalamnya",,1
ffburik 2334,2024-11-20,5,"Aplikasi akademi crypto ini sangat memudahkan pengguna baru untuk lebih mengenal tentang crypto, sangat mudah dipahami dan sangat di rekomendasikan",,0
Nauval Vale,2024-11-20,1,"Gausah deh bro beneran buat yg awam, banyak kok info yg gratis di Twitter lebih cepet lagi. AC juga cuman copy dari sana Kalian itu cuman jdi korban pembodohan gara gara awam.",,2
Ika Widiya,2024-11-20,5,"Untuk pemula ini recommended banget ya karna mudah di pelajari, gampang di pahami juga. Top deh",,1
Chris Toper,2024-11-20,5,Bagus pol,,0
Bang Okay,2024-11-20,5,Tetep suport ncek...,,0
Yogi Setiawan,2024-11-20,5,Sangat membuka wawasan,,0
Arya Norrohman,2024-11-20,5,Buset ini pada kenapa sih orang indo gak ada yang ngehargain ilmu dan informasi. Hedehh pantesan gak maju maju,,1
A.Aida Muflihah,2024-11-20,5,"Akademi Crypto benar-benar membantu saya memahami dunia kripto dengan lebih baik. Materinya sangat komprehensif dan mudah dicerna, bahkan untuk pemula seperti saya. Tutornya juga sangat sabar dan selalu siap membantu. Komunitasnya juga sangat aktif, sehingga saya bisa belajar banyak dari pengalaman anggota lainnya. Saya sangat merekomendasikan aplikasi ini bagi siapa saja yang ingin belajar tentang kripto.",,2
Aligator 22,2024-11-20,5,keren,,0
Awan Satria Gumilang,2024-11-20,5,mudah di pahami praktis buat d gunakan bagi orang awam sangat mebantu,,0
Lukyalfiansyah,2024-11-20,5,Edukasi crypto nya sangat mudah dipahami dan membantu pembelajaran kita,,1
Davin Umar Prayoga,2024-11-20,5,"Nothing to Lose, Everything to Gain👑",,0
Abiyyu Naufal,2024-11-20,1,Apa apaan nih ajg gw kirain langsung dapat 900rb primo atau stellar jade ternyata enggak😡😡 sekem banget gak sih hapus aja co gw download 5 hari 5 malam ga dapat apa apa besok besok mending gw download luckypatcher😡😡😡,,6
Angga Anugrah,2024-11-20,5,Memberikan edukasi seputar crypto yang bagus,,0
Teguh Adi Pradana,2024-11-20,5,"Aplikasi yang cocok buat kalian yang pengen belajar crypto dari dasar sampai mahir, antarmuka aplikasi yang mudah dan modul tersedia banyak",,1
Andrean Gusniawan,2024-11-20,5,Cukup bintang yg menilai,,0
Ibnu Hanif 04,2024-11-20,5,"untuk para pemula trading crypto gampang banget sih,tampilan nya ga bikin bingung buat kitaa,rekomen banget sih ini",,1
Indra Sulistyo Wibowo,2024-11-20,1,"hati hati gharar, sudah banyak yang kecewa, jangan sampai anda jadi yang berikutnya",,2
Pengguna Google,2024-11-20,5,"Aplikasi oke banget bagus untuk pemula seperti untuk mengenal dunia crypto,bisa staking",,0
Aprilia Pratiwi,2024-11-20,5,"aplikasinya bagus dan sangat bermanfaat, aplikasi ini mudah digunakan jadi cocok untuk pemula, desain desainnya menarik dan fiturnya sangat lengkap cocok untuk tempat belajar",,1
Eva Davin,2024-11-20,5,Akademi crypto cocok untuk yang mau belajar tentang crypto. Fiturnya juga bagus,,1
Petra Androniko,2024-11-20,5,amazing,,0
Mahsa Abrar,2024-11-20,4,Bisa ditingkatkan lagi ui/ux nya. Dan untuk research nya bisa di perbanyak lagi. Overal good,,0
Andrew Kesuma,2024-11-20,1,Aplikasi sampah tidak ada gunanya hannya memperkaya timothy ronal dan kalimasada otaknya sok nyainging blombeg terminal,,5
Jotaro,2024-11-20,5,For the GOLD For the GLORY For the EMPEROR For the IMPERIUM,,0
njm1308,2024-11-20,5,"untuk para pemula aplikasi ini bagus dan sangat bermanfaatt, apk nya sngat membantu yang mau belajar trading crypto, dikasih edukasi juga tentang crypto dan sejenisnya , desain nya menarik, fitur nya juga lengkapp. Apk nya juga sangat mudah digunakan, rekomen banget sih",,1
Candra Wijaya Sakti,2024-11-20,1,Gpp pen rating *1 aja,,2
Rizki Ridho,2024-11-20,5,mudah dan gampang di pelajari untuk pemula,,1
Ulumuddin Kamil,2024-11-20,5,"Apk akademi crypto ini rekomend banget bagi pemula untuk belajar untuk memahami dunia cryptocurency, materinya mudah di pahami",,1
Diska,2024-11-20,1,"Manta manta rungkad, gw bukan buzzer yg komen default ngasi b 5",,2
YUDHO .S,2024-11-20,1,"Apk payah,isinya gak bermutu.mending nyari sendiri lebih banyak infonya.Isinya gak da bedanya bahkan lebih minim.Taik",,6
iqra dzulfikar,2024-11-20,5,Cukup baik,,0
Hok Aqua,2024-11-20,5,"Apk nya bagus selalu dapat informasi terupdate mengenai dunia global, informasinya bisa menambah ilmu buat tranding cypto",,1
PrdxTime,2024-11-20,1,Harta Tahta Manta Rungkad,,1
Dcky Sndika,2024-11-20,5,Tempat edukasi terbaik. The best,,0
10H_29_ Rasyad lufian feriansyah,2024-11-20,1,Lifetime😂,,1
Marchella Aprilya,2024-11-20,5,"Rekomendasi buat pemula belajar tranding crypto, nanti di kasi edukasi tentang cypto dan jenisnya jadi kita sebagai pemula banyak pengetahuan di dunia tranding",,1
Kurnia Dharma,2024-11-20,5,Aplikasi nya sangat bermanfaat,,0
Rina Sumiati,2024-11-20,5,Untuk pemula yang mau belajar trading crypto bisa di coba di apk ini karena fitur nya mudah dan simpel.,,1
Riko Adhi Rivaldo,2024-11-19,5,Gw bukan member tapi bisa cuan naikin porto 45% dari callvnya kalimasada meskipun ga semua callnya benar tapi literlly porto naik 45% thx bro Kaka and tim,,1
Eko Prasetyo,2024-11-19,5,Untuk pemula wajib download aplikasi ini.... pembelajaran mudah dan tidak ribet. Sangat direkomendasikan bagi yang baru belajar crypto..👍👍,,1
Rihtaf,2024-11-19,1,"Instal ini buat kasih bintang 1 aja, bintang 1nya buat buzzer bayaran yg kasih bintang 5. Keluarkan lagi anggaran bayar freelance seperti kami bisa review 1000 akun bintang 5 palsu full template lord. Anda diserang netijen kami dapat pekerjaan, anda senang kami drawdown lagi. 17jt juga harus dibagi ke buzzer2 rating palsu. Alam semesta harus seimbang. ❤️❤️❤️",,30
Adhi Dwi haryanto,2024-11-19,1,"Buat kalian yang mau join AC mending pikir"" dlu di dalam gak sebagus yg di luar seperti yg mereka katakan..tanya dikit disuruh liat modul tanya dikit di bilang belajar sendiri..orangnya"" pada cuek ..bikin peraturan seenak jidat..",,5
Khoirina Dewi,2024-11-19,5,"Akademi Crypto adalah aplikasi yang sangat bermanfaat untuk belajar tentang cryptocurrency. Materinya mudah dipahami, cocok untuk pemula maupun yang ingin memperdalam pengetahuan. Antarmuka sederhana dan user-friendly. Highly recommended!",,2
Krisna dwi wardhana,2024-11-19,5,"Sesuai namanya, akademi crypto. Sangat cocok untuk yang ingin serius dalam mempelajari tentang crypto. Berhubun tren crypto sekarang ini sedang bagus. Cocok untuk yang mau belajar",,1
Amelia Ningsih cendera,2024-11-19,5,"gua baru beberapa hari nyoba aplikasi ini, mantep dah. cocok buat pemula, banyak fiturnya + mudah di pahamin",,1
Ardhi Zakaria,2024-11-19,5,belom member tapi mau margin call balik 🥲,,0
Anonhu,2024-11-19,5,"Semangat terus ncek! The higher the mountain rises, the stronger the wind blows",,0
giyanto Milyarder,2024-11-19,4,Ok,,0
Ilmu Dunia,2024-11-19,1,Porto timoty berapa bitcoin sih .. gua di indodax ada 30 btc portonya.... Tapi THN 2018 lu pada malah lebih percaya sama yg cuma punya 1-10 btc,,9
UwaJaa,2024-11-19,5,Edukasi berkualitas,,1
Yogi Priyan Perdana,2024-11-19,1,"Apapun yang kalian lihat di SOSMED ga Sebagus itu, bayar mahal mahal isinya berita doang, padahal berita itu bisa di dapatkan berbagai platform seperti CoinMarketcap, Telegram, Banyak lagi",,4
Firdaus Fieri,2024-11-19,1,aplikasi scam,,1
Salomo Ivan,2024-11-19,5,Apk nya udh bagus,,0
Hayat Hayat,2024-11-19,5,Akhirnya pojok avs pojok ncek balik lagi thank ko dan bro kaka semoga tetep semangat lagi edukasi kita 🙏,,1
Muhammad Zaky,2024-11-19,1,join = rungkad,,2
Sherasyade aura Malika bilqis,2024-11-19,5,"Buat yang baru nyoba dan belum tau apa2, di sini mantep bgt. Penjelasan detail",,1
chandra alief,2024-11-19,5,GASS MARGIN CALL LGI NCEK,,0
Ashley,2024-11-19,1,"Kalo belom siap sama planing nya jgn berani buka kelas lah, hampir setahun malah dsuruh ikut merasakan proses doang, gak jelas arah nya mau gimana",,2
Dani Satriyo,2024-11-19,5,Untuk fiturnya udah bagus pembelajaran di dalam apk juga gampang di mengerti rekomendasi banget aplikasinya buat belajar crypto,,0
Iccank etnis,2024-11-19,5,Aplikasi yang sangat beredukasi,,0
Alvin Pratama,2024-11-19,1,"server butut,masih bagusan server coc",,8
ADITYA FVNKY,2024-11-19,5,Ok sih ini,,0
Tatang Nulhakim,2024-11-19,5,Aplikasi yang sangat berguna,,0
arda rega,2024-11-19,5,Terimakasi buat AC,,0
Resor Kambata Wundut,2024-11-19,5,Good,,0
Arif Alfaraby,2024-11-19,5,"Aplikasi nya sangat bagus dan efesien sekali, bagus untuk pemula yg ingin belajar crypto.",,1
Andrie Hand,2024-11-19,5,Saya berharap fiturnya di Tmbhin dari Search. Sama juga di tambahin lagi untuk fitur news atau risetan itu ada notifikasi kek discord supaya tidak ketinggalan berita,,1
Alifa Sidiq,2024-11-19,5,Game nya sangat membantu saya mempelajari berbisnis,,1
Siti Aisah,2024-11-19,5,"Aplikasi nya sangat bagus dan sangat bermanfaat , aplikasi mudah di gunakan dan fitur nya lengkap ,desain sangat menarik , tempat belajar yang baik dan sangat membantu serta pembelajaran yang baik dan lengkap😍🥰🥰",,3
Karisma 150,2024-11-19,5,wah aplikasi ini sangat bagus dan menginformasikan dan aplikasi ini selalu update terus aplikasi bagus dan keren ini mah. THIS GOOD APLIKASI 👍,,1
Nur Gheboy,2024-11-19,5,"Aplikasinya sangat mantap,dan lebih gampang dari pada di discord",,1
Eli Rahmawati,2024-11-19,5,"Semua informasi yg ada di aplikasi bener bener membantu para kaum Adam yg baru mau belajar soal crypto, mudah dipahami juga informasinya",,1
Agmbp 06,2024-11-19,5,aplikasinya sangat membantu buat saya yang baru belajar soal crypto terimakasih,,1
Ananda Raja mandala,2024-11-19,4,Cuk ini masuknya bebayar apa gimana?,,0
dikkz ganteng,2024-11-19,5,edukasi cryptonya mudah di pahami buat pemula,,1
haechan na_winda,2024-11-19,5,"Aplikasi yang bagus mudah di gunakan, aplikasi ini sangat bermanfaat, buruan download apk ini, fitur nya bener bener se lengkap itu",,1
Akun Game,2024-11-19,1,Apk nya bagus banget sangat membantu berguna buat mencari informasi gk nyesel,,1
naWinda Sun flower,2024-11-19,5,"Sejauh pakai aplikasi ini bagus bagus aja , tmpt belajar yang lengkap, mantul sih ini👍",,1
YAN 420,2024-11-19,5,Aplikasi yang sangat bagus yang menyediakan edukasi dan informasi penting..,,0
F Digital Printing,2024-11-19,5,Aplikasi ini sangat membantu untuk yang baru belajar soal crypto mantep bngt aplikasinya,,0
dhoni,2024-11-19,1,"Gk menarik dari segi ilmu nyatanya banyak juga yg nyangkut di akademinya, Dari segi prediksi gk sesuai ekspektasi apalagi gk ada pembahasan kalo rugi lapang dada untuk narik dana,, giliran di kasih masukan membernya di kick di block aneh. Buat validasi supaya merasa kuat dan bawa2 uang, Buat masukan paling penting Cari guru yg bisa saling komunikasi ke membernya tanpa menggunakan bahasa mempermiskinkan manusia.",,43
mnur aja,2024-11-19,1,"Katanya harus bintang 4 dulu, baru di kasih edukasi lagi ,😅",,0
DEVIN SAATULLAH C.,2024-11-19,5,"AC terbaik, gw bukan member tapi dari margin call saja gw udah bisa untung lumayan, dan impian gw suatu saat bisa gabung AC. Big thanks for bro kalimasada and bro Timothy.",,0
Gun Gummy,2024-11-19,5,Daging semua geloo,,0
Rohmadi rahmad,2024-11-19,5,Top,,0
Khodijah Syaqila,2024-11-19,5,Aplikasinya lengkap dengan fitur2 yg menarik dan mudah digunakan. Sangat membantu untuk pelajar pemula.,,1
Berlin Fitriani,2024-11-19,5,"Belajar tentang crypto sekarang gampang di aplikasi ini , banyak pembelajarannya , penjelasan berbagai macam crypto ada disini",,1
Septrii yantii,2024-11-19,5,"Bagus nih aplikasinya untuk pemula yang mau belajar tentang banyak macam crypto , gimana cara gunainnya banyak deh pokoknya pembelajarannya",,1
MalingPangsid,2024-11-19,1,Aowkwwk isep terus yang rate b5😹,,3
Ayah Aja,2024-11-19,5,"cakep,yang membantu buat saya yang mau mempelajari crypto,mudah banget buat di pahami....tingkat kan terus",,1
Paulus Haryanto,2024-11-19,5,"Cocok bgt buat yang pengen belajar crypto materinya sangat mudah dipahami, sangat bermanfaat aplikasinya",,1
Hariyanto gamingl,2024-11-19,1,Gak berani buka diskusi akhirnya bikin apk takut kena mental call nya apass😆,,11
Ratna Kusumaningrum,2024-11-19,5,Mantap.. Sangat berguna untuk pemula seperti saya. Dan tolong tambahkan notifikasi untuk mengetahui informasi penting. Tingkatkan lagi..,,0
Titis Septiana sari,2024-11-19,5,Aplikasiny bagus dan mudah digunakan. sgt bermanfaat buat pemula. fitur lengkap dan byk yg menarik.,,1
Agan Nain,2024-11-19,1,Menjijikkan. EDUKASI SAMPAH. PENIPUAN,,2
Rivaldo Wawointana,2024-11-19,5,The best,,0
Dacil Uyye,2024-11-19,5,Saya mendukung akademi crypto karena 2 orangnya ☝️,,0
Jonathan Wijaya,2024-11-19,5,"Aplikasi ini cocok buat pemula yang ingin belajar tentang crypto, materi yang disampaikan juga mudah dipahami. Top deh",,1
Eldo Yuliandika,2024-11-19,5,Good job,,0
Paulina Siregar,2024-11-19,5,Lagi cari apk yang bisa ngajarin aku secara detail apasih itu crypto. Nahh aku ketemu apk ini bagus banget ngajarin aku detail tentang crypto dan cara investasi crypto gimana. Terus kembangkan apk nya supaya bisa mengedukasi org2 yg mau belajar dan supaya ga terjebak investasi bodong lainnya.,,1
Rizky Ramdhani,2024-11-19,5,Alhamdulillah bisa download kemaren² ga bisa Ilmu mahal ini woi jgn sampe rating jelek,,0
Rudi Kalem,2024-11-19,5,"Aplikasi yg berguna.menjadi mudah,untuk yg membutuhkannya,pkonya mantafff,the bestlah!!",,2
Hu saini,2024-11-19,5,Update berita bagus kualitas sangat bagus,,0
Yoga Setia Permana,2024-11-19,5,"meskipun gua belum bisa berkesempatan mencoba aplikasinya tapi gua seneng dengan AC yang udah berkembang sejauh ini, semangat terus untuk semua tim AC!",,1
Muhammad Ihsan Abdillah,2024-11-19,1,🤣🤣🤣,,1
Nindy Aprilia,2024-11-19,5,Aplikasi ini dapat membantu pemula untuk mempelajari tentang crypto dari dasar hingga tingkat lanjutan.,,1
C18 Matthew Hans Bakara,2024-11-19,5,"Aplikasinya bagus dan bermanfaat,serta mudah digunakan dan memiliki desain yang menarik,juga memiliki tempat belajar yang lengkap pokoknya top dehhh",,1
Lana Kun,2024-11-19,5,Namanya juga 1% dari 99% wkkwk yang 99% kan cuma modal ikut ikutan,,0
Ika Utami,2024-11-19,5,Aplikasi sangat membantu.memberi infomasi dan updete ttng edukasi treding.....,,1
Irdian Safitrah,2024-11-19,5,"Apk ini sangat bagus dan lengkap dengan desain yg menarik, apk ini tempat belajar yg lengkap dan sangat membantu belajar ❤",,1
Gus Wid 24,2024-11-19,5,Bagus... info yang di suguhkan super sensitif...mantap,,1
Alfin Firanzah,2024-11-19,5,"Aplikasi ini cocok untuk kalian yang mau belajar crypto sangat membantu untuk pemula, tampilannya jga simple mudah dimengerti bagus pokoknya",,1
Sehzade Angga pasha,2024-11-19,5,"Bagus banget sih... Apalagi buat gua yg msh pemula didunia crypto... Istilah2 yg rumit, jadi gampang dicerna... Mantap dah👌👍",,1
lintang rumbiati,2024-11-19,5,"wahh keren banget belajar crypto disini langsung paham ternyata, daridulu bingung mau belajar dimana eh nemu disini, penjelasan juga sangat rinci mantap banget banyak materi crypto",,0
Zaza Rara,2024-11-19,5,"aplikasi bagus dan sangat menarik, fitur lengkap, desain menarik, tempat belajar yang sangat lengkap dan aplikasi sangat membantu",,1
Muhamad Deniansyah,2024-11-19,1,Good,,1
Muhamad Dafa Hasbi,2024-11-19,5,Aplikasi sangat direkomendasi untuk edukasi Tentang crypto,,0
Ryan Wicaksono,2024-11-19,5,cihuyy blomberg indo udah rilis wkwk,,0
Arif masduki,2024-11-19,3,"Ga bisa login, masa iya harus jadi member baru bisa make. Harusnya pake subscription perbulan siapa aja bisa pake. Kalo cuma buat org komunitas gak usah listing di google Play. Ngapain udah ada aplikasi kita mesti repot daftar pake web. Ini review jujur sih.",,3
viki fintaru,2024-11-19,5,"Ga ada bug, semua lancar",,1
Husti,2024-11-19,5,"aplikasinya berguna banget,fiturnya keren dan mudah dipahami bagi pemula yang ingin belajar crypto",,1
Muhammad ifani Ali,2024-11-19,5,Semangat bg tim,,0
riri ade rhandita,2024-11-19,5,"aplikasi nya sangat bagus sekali, fitur nya lengkap dan sagat mudah dipahami . pertahankan 👍",,1
Nanase Haruki,2024-11-19,5,Aplikasinya berguna banget buat yang mau belajar crypto dan juga aplikasi ini aman ya,,1
Ahmad Riza Amali,2024-11-19,5,Aplikasi TOP ... MANTAP ...,,0
Agung Anantakuva Official,2024-11-19,5,"Bagus, sangat bermanfaat isinya. Ini hanya untuk yang mampu berlanggannan/berbayar bukan ilmu gratisan. Okee",,1
Andri Anto,2024-11-19,5,Go a head,,0
Fathir Bajri,2024-11-19,5,"Meskipun bukan member, tapi saya tetap mendukung aplikasi ini karena dibuat oleh komunitas Crypto terbesar di Indonesia yang sangat bermanfaat bagi saya 🔥🔥🔥",,1
Nur Muhamad Iskandar,2024-11-19,5,Aplikasi yang Cocok buat yang mau mendalami ilmu-ilmu jadi investor ataupun trader semoga kedepannya makin bagus lagi,,1
Rizky Oey,2024-11-19,5,"Aplikasi paling membantu buat para pemula, terima kasih Akademi Crypto, Bro Timothy dan Prof Kalimasada. Sukses selalu",,1
chanel 93,2024-11-19,5,"Bang saya bukan member jadi saya gak punya akses untuk masuk , tapi saya sangat terbantu dengan MC nya , semoga ulasan saya memberikan hal positif untuk aplikasinya , di tunggu MC nya bang Satu lagi bang jangan hapus video yg sudah di upload karena itu buat belajar saya .",,1
Siti J,2024-11-19,5,"Aplikasinya bagus, yang bilang ga bisa dizoom, itu bisa dizoom langsung ga usah di pencet gambarnya, kalo bisa kedepannya ada lagi pojok avs pojok nceknya lagi 🙏",,1
Daeng_ Bahar,2024-11-19,5,Edukasi terbaik👍,,0
Maulana Ibrahim,2024-11-19,5,Walaupun saya bukan member tapi saya review positif.. tolong dukung balik download aplikasi saya.. NEKOLIM,,1
Death Note,2024-11-19,5,bocil fomo minggir dulu,,0
Rio Rio,2024-11-19,5,Mudah digunakan sangat membantu sekali buat belajar dibidang criypto fitur lengkap dan simpel,,1
Aprianto Masseleng,2024-11-19,5,Terimakasih Edukasinya Selama ini🫡🫡,,0
Andika Setiawan,2024-11-19,5,Apk nya sumpah bagus banget lu lu pada yang ngehina ngejelekin akademi ini harus nya kalian sadar diri aja 🥵,,0
Anw Lilpan,2024-11-19,5,Gila aplikasi cok bener bener kek Bloomberg yang udh di olah datanya,,0
SATRIAGUNG C,2024-11-19,5,Sangat bagus dan bermanfaat bagi saya karna memberi informasi yang bagus yang gak ada di aplikasi lain,,1
Susi Susanti,2024-11-19,5,"aplikasi nya baguss banget dan bermanfaat, terus desain nya juga unik bgt berbeda dari yg lain, penggunaan nya juga mudah dan ga ribet, bagus secara keseluruhan deh",,1
